Kernel,Degree,MSE,RMSE,MAE,MDAE,EVS,R2
linear,-,0.0015121550512472758,0.038851656201417645,0.03108869046564413,0.02790132030624448,0.6975027357025378,0.4939459112196127
rbf,-,0.002735267399853005,0.05228561746385685,0.04633639702478938,0.04655419648368344,0.684767639642142,0.08324079328193795
poly,2,0.0031749889767096855,0.056337536211299416,0.04866624136024601,0.048463483395493015,0.6058228055511822,-0.06423543543482822
poly,3,0.004117650994114893,0.06416461570216589,0.05747839463487181,0.0577670767803892,0.582835771217994,-0.3818907147753584
poly,4,0.004438615126719676,0.06661862029021223,0.0602669329627831,0.06162797824765078,0.5455299499869322,-0.4933040217003144
poly,5,0.004793257218528392,0.06922948520056706,0.06284721006619591,0.06591076959409448,0.4743333834563137,-0.6099590538712928
sigmoid,-,0.0015464818478965262,0.039282318740556314,0.03288955404647964,0.03166740641274462,0.7481883754126573,0.48240990818999213
