No. of Estimators,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MDAE,Test MDAE,Train EVS,Test EVS,Train R2,Test EVS
1,0.000722579,0.000752638,0.026879833,0.027392967,0.015902975,0.016039727,0.009080546,0.009107988,0.758586175,0.748547575,0.758580384,0.748547575
10,0.000699619,0.000747821,0.026447768,0.027319458,0.017309483,0.017432224,0.012111904,0.012120045,0.774600623,0.758191754,0.766244398,0.758191754
100,0.002720905,0.002787967,0.050532359,0.051259528,0.044397572,0.044559847,0.045959634,0.045951717,0.66987844,0.644907495,0.091034221,0.644907495
200,0.00316202,0.003237248,0.054694754,0.055413981,0.048504584,0.048741257,0.050694623,0.050767938,0.635924001,0.610851919,-0.056108644,0.610851919
300,0.003165467,0.003238313,0.054070209,0.054766081,0.047657214,0.047837209,0.049509044,0.049576978,0.635114044,0.610137006,-0.058021656,0.610137006
