Estimators,MSE,RMSE,MAE,MDAE,EVS,R2
10,0.0006048747591682683,0.024561598622111686,0.014001139137903164,0.007823738857057474,0.7977230981382146,0.7976493334057406
20,0.0005801944500891401,0.024052789235986485,0.01367699973215428,0.007639451960897497,0.8060454041910861,0.8059765484906529
30,0.0005688287397057505,0.023812032946441835,0.013552753306203815,0.007576201294880955,0.8099579982796682,0.8098684007707528
40,0.0005638855528314133,0.023713339434262622,0.013487860311516539,0.007521604786140631,0.8115291034022115,0.811440039846253
50,0.0005621300618030413,0.023676365985483255,0.013462862608663884,0.007522639015727866,0.812028561321283,0.8119418566302058
