Min Samples Split,MSE,RMSE,MAE,MDAE,EVS,R2
2,0.0005412700280122509,0.023233225445138447,0.013413074213691343,0.007559480527198817,0.8190965527537499,0.8190322941335654
3,0.0005390657998093109,0.023184145433962477,0.013401961506744988,0.0075532361230753855,0.8198087373202917,0.8197559153701479
4,0.0005383381428103351,0.02316666897697193,0.013405904721987008,0.0075584133334440405,0.8200885772215106,0.8200360239602914
5,0.0005401205721210587,0.023199702165941635,0.013412812149070254,0.007559654979863956,0.8194997966554289,0.8194355732738471
6,0.0005403883359966334,0.02322206667581596,0.013407911224046736,0.007547511617401859,0.8193523201764792,0.8192963608166974
7,0.0005400810197840378,0.02320294608589866,0.013407247092806811,0.007555776812096951,0.8196510777628977,0.819591074871828
