RFR,ETR,GBR,XGBR,BAR,Actual
0.05214914598512947,0.05219039793771463,0.054837976990950665,0.05699622631072998,0.053074793012356666,0.05296244898387
0.09204480287118919,0.09014794334623961,0.09362068765880571,0.09607842564582825,0.0984535198580709,0.082192244166642
0.04246720567327463,0.04368021252988641,0.04053012082385121,0.04486683011054993,0.046980511572972394,0.014157556771002
0.15494375510899352,0.1424519998002847,0.13932339816091696,0.1416180431842804,0.14906692608580763,0.191694881260508
0.0358979700632351,0.04009043865898556,0.03960103391464135,0.04194256663322449,0.0413909449676665,0.020003420528218997
0.03018882995721813,0.030771344339030164,0.02887040632641481,0.03220862150192261,0.026589315490904646,0.022604070047462996
0.00011211529199993086,8.325931842099963e-05,0.0008106331466267728,0.003393113613128662,-0.0042543084841994505,3.906452840777271e-05
0.0063564275662137855,0.005753193784256469,0.0065801084899947265,0.009275972843170166,0.005036215291739408,0.001075703721277
0.011201228409435635,0.010705275054779957,0.010751337421892266,0.012762337923049927,0.016440924410375125,0.043862319451609996
0.05557047713908152,0.05894472146200911,0.05754402842196365,0.05740773677825928,0.06655059831063881,0.061484232937019004
0.03137892102379133,0.02823406417698618,0.03179600154776504,0.03618216514587402,0.030265468606147188,0.031927629626348
0.1082454466098813,0.10678230105593862,0.10338210737425374,0.10569721460342407,0.11602906876570841,0.09609921627980901
0.01660257677542781,0.0175723799661321,0.01583658709887861,0.017580479383468628,0.014740683636293304,0.034475399113235
0.07730892839405436,0.07728293141986722,0.0814458527391058,0.08385610580444336,0.08539836786347575,0.08025092766345099
0.013985540136594228,0.014188375712679606,0.014299859968024232,0.016594916582107544,0.010813097836322488,0.009480294089203001
0.1462975701476077,0.1386430408116438,0.14038595264575415,0.14494028687477112,0.13495748588669657,0.135437672783124
0.008348688238538291,0.007998184024551195,0.008830591329808105,0.012036293745040894,0.010396088334668301,0.024963662842631
0.036447203049475185,0.03588736251913439,0.036481233239570664,0.03906428813934326,0.034514158763334295,0.020979080945038003
0.0076169244341327946,0.00809475912817893,0.008830591329808105,0.011786431074142456,0.007806647732484177,0.006871069429577
0.026223782766613482,0.028631600855578018,0.028759025282852912,0.03126591444015503,0.03082368529963278,0.023434429474473
0.034016605997851744,0.030564928375069838,0.03959895140851496,0.04208344221115112,0.03536616173538539,0.007776699533274
0.03775088936432219,0.038295990604872515,0.03619172094048837,0.039284199476242065,0.040116989662461695,0.07113936461068202
0.031182148570095256,0.03156521027556987,0.030101008261250627,0.03163990378379822,0.028056108394557366,0.033234385741257
0.17808063273579616,0.1850151526374036,0.16478260314781135,0.16789352893829346,0.1576043909078556,0.197296353516832
0.009276713305995343,0.008345188705364832,0.007871344297211891,0.009634345769882202,0.008061902131225353,0.013640666364631002
0.004516750016669765,0.00455557786055448,0.005125912415550373,0.00871005654335022,0.009016504420337797,0.004835426382182
