Max Depth,MSE,MAE,MDAE,EVS,R2
2,0.000899495,0.018446015,0.011341778,0.699759202,0.699661906
3,0.000680264,0.015413149,0.008728633,0.772868836,0.772797914
4,0.000631003,0.014560076,0.00809695,0.789246005,0.789178986
5,0.0005923,0.014102658,0.00791698,0.802015808,0.801959369
6,0.000574932,0.013835984,0.007759421,0.807850491,0.807789977
7,0.000564271,0.013639022,0.007674444,0.811361145,0.811292403
8,0.000555163,0.013479188,0.007585205,0.814401824,0.814330371
9,0.000547963,0.013366728,0.007494054,0.816838792,0.816792783
10,0.000548108,0.013302776,0.007434607,0.817016153,0.816962823
11,0.00054553,0.013250491,0.007385482,0.817637461,0.817583708
12,0.000545073,0.013225568,0.007374063,0.817803454,0.817737827
13,0.000543477,0.013210801,0.007355138,0.818579669,0.818527498
14,0.000546769,0.013215561,0.007367662,0.817295152,0.817244974
15,0.000549675,0.013259693,0.007396753,0.816315365,0.816249382
