Max Depth,MSE,RMSE,MAE,MDAE,EVS,R2
2,0.000897679,0.029917489,0.01843494,0.011334608,0.700485197,0.70036757
3,0.000680264,0.026051771,0.015413149,0.008728633,0.772868836,0.772797914
4,0.000631003,0.025085891,0.014560076,0.00809695,0.789246005,0.789178986
5,0.000592569,0.024310664,0.014103213,0.007924054,0.802001841,0.801938471
6,0.000574932,0.023953635,0.013835984,0.007759421,0.807850491,0.807789977
7,0.000564271,0.023714946,0.013639022,0.007674444,0.811361145,0.811292403
8,0.000555163,0.023527926,0.013479188,0.007585205,0.814401824,0.814330371
9,0.000547963,0.023378826,0.013366728,0.007494054,0.816838792,0.816792783
10,0.000547138,0.023355249,0.013306322,0.007451194,0.817272602,0.817207138
