Estimators,MSE,RMSE,MAE,MDAE,EVS,R2
10,0.000748088,0.027326797,0.017491381,0.01221121,0.758539248,0.749498224
50,0.001298289,0.03571229,0.028307429,0.026329362,0.733014099,0.565394633
100,0.00297392,0.052983507,0.046354342,0.048155234,0.633415194,0.000608497
150,0.003255362,0.05541588,0.048725341,0.050876257,0.614505314,-0.094267918
200,0.003293785,0.055567406,0.048742565,0.050784644,0.608801744,-0.104923504
250,0.003297195,0.05518323,0.048172837,0.050078401,0.608492112,-0.109631368
