Max Depth,MSE,RMSE,MAE,MDAE,EVS,R2
2,0.0006092766520288264,0.024652651971876775,0.014567765637983773,0.008036187412597443,0.7964685191896484,0.7964004921726846
3,0.0005663621090995872,0.023771376316169462,0.01394229847967487,0.007779655683741838,0.8106820834144876,0.8106187344589199
4,0.0005453543699553414,0.02330954162356087,0.013606824852893313,0.0076638543622735145,0.818016566398235,0.8179520873820533
5,0.00053943988345751,0.02319456624818271,0.013411596443794669,0.007562303729202432,0.819882168396902,0.8198113856833811
6,0.0005456271773357697,0.023326391432383697,0.013323271062175927,0.007485609460099952,0.8175834098133291,0.8175136965432889
7,0.0005532918533723499,0.02348472983377206,0.013285514625467058,0.007413105619590032,0.815091441152099,0.8150386270455678
