Max Depth,Min Samples Leaf,Min Samples Split,MSE,RMSE,MAE,MDAE,EVS,R2
2,1,2,0.0009505448868730152,0.03083090798002899,0.019113328358625756,0.01088593018206357,0.6771527423074724,0.6771527370571313
2,1,2,0.0010439730776054255,0.03227814408040218,0.019388157176701323,0.011052229886598874,0.6642654998261935,0.6642421453410015
2,1,2,0.0010795059811060442,0.032825455861487524,0.01913947372858686,0.01097971286391862,0.6543877140560583,0.6543471066665286
2,1,2,0.0011112445227854264,0.03330262569515007,0.019326860570691693,0.010968248166494934,0.6530339222224835,0.6529970377030514
2,1,2,0.001070884756227987,0.03267350400804807,0.019294899212288295,0.010951535463454927,0.6582014197190077,0.6581608933409772
2,1,2,0.0010384881968419563,0.03216222565388469,0.019252118593598298,0.01103173622405824,0.6643640152162348,0.6643134955156486
2,1,2,0.0010069544946593606,0.03165281746450542,0.01914299215699469,0.010990541407785945,0.6678923811257452,0.6678405308157587
2,1,2,0.0009876589964435277,0.03134610934868219,0.019089099534160887,0.010973133389250107,0.6734957987689782,0.673450115892005
2,1,2,0.0009853152100430488,0.03131761133109735,0.019140162371095802,0.011001564765561031,0.672995471132716,0.6729543408139401
2,1,2,0.0009762669404837004,0.03117722532399499,0.019152973508541962,0.010987950568559937,0.6749427440664058,0.6749052360536505
2,1,2,0.0009782522297016513,0.03121500499831857,0.019146054051028292,0.011020388700857846,0.6744824295711137,0.6744478898092794
2,1,2,0.0009738271933338391,0.03114844691640899,0.019137370408235644,0.011039497366638444,0.6757063947384032,0.6756695969081052
2,1,2,0.0009683067857682067,0.03106274678871597,0.01913046444449407,0.011054249314060806,0.6760601300517425,0.6760085452452425
2,1,2,0.000968346729787203,0.031067308621001245,0.019149808169431036,0.011133760712843286,0.6756125003332585,0.6755619510175975
2,1,2,0.0009730127620414142,0.03114437073104024,0.019178536246594467,0.011119505424321358,0.6754308716230052,0.6753836921655308
2,1,2,0.0009638104214885803,0.030993866718703546,0.01916669797049554,0.011187460375215893,0.6764594637187993,0.6764108264200261
2,1,2,0.0009677693757790999,0.031059577073608097,0.019163242249017907,0.011166204364901658,0.6749779769006908,0.6749310372412217
2,1,2,0.000972731324228531,0.03114031363202168,0.01918790837011815,0.01117131785955539,0.6750544921785828,0.6750050252327803
2,1,2,0.0009707431501384729,0.031110668203364628,0.019181298701226812,0.011160939372356654,0.6751355979603092,0.6750884708828189
