Max Depth,MSE,RMSE,MAE,MDAE,EVS,R2
2,0.000615474463443021,0.024780691871406493,0.015286290837397925,0.008969959451693982,0.7960389334046952,0.7941227274629057
3,0.0005743076906007573,0.023936410378325577,0.014652045076449467,0.008666034376789927,0.8098545924707561,0.8079208921109968
4,0.0005502868922696086,0.023433001941573512,0.014299438475771033,0.008523368402354849,0.8177663599505165,0.8158587873670642
5,0.0005445969880718905,0.023302514381239484,0.01409835659187204,0.008384860752246155,0.81991426989013,0.81802111167427
6,0.000548623646472828,0.023387358522354174,0.013996216799020089,0.008281356180246904,0.818659566784797,0.816730486135301
7,0.0005535501314832735,0.02349358774693661,0.01395137778999175,0.008230297366210714,0.8169824267118861,0.8149962985233847
