Min Samples Leaf,MSE,RMSE,MAE,MDAE,EVS,R2
1,0.0005425138534742339,0.02326076703442135,0.013425384617653418,0.00756726006628784,0.8186629906846935,0.8186129588649603
2,0.0005385648599927663,0.023173787358539616,0.013405411401411008,0.007559811218395686,0.8200579754185316,0.8199865843815709
3,0.0005388314843465814,0.023186567845003694,0.01340637627374853,0.007559081104463028,0.819830228203731,0.8197628991850485
4,0.0005390928827682213,0.023179804474885733,0.013396076331360453,0.007547325439162747,0.8199848195175429,0.8199150703468251
5,0.0005405322385529918,0.023222233324346465,0.013404602165255644,0.007545887320934328,0.819323896084984,0.8192754734939239
6,0.0005412952858160505,0.023234351997435964,0.013404689408437039,0.00754864694162124,0.8190611319324393,0.8189911795057544
