District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Coimbatore,59,25.676,53.263000000000005,3.66,29.701999999999998,21.701,4.94,25.706,5.0626,75.385
Coimbatore,60,24.355999999999998,41.088,3.54,28.879,19.867,5.09,22.096999999999998,0.4825,0.48200000000000004
Coimbatore,61,25.453000000000003,31.088,3.95,30.534000000000002,20.428,5.62,21.955,1.7268,15.915
Coimbatore,62,26.18,28.502,4.44,31.351999999999997,21.055999999999997,6.18,22.639,1.1953,13.27
Coimbatore,63,27.215999999999998,30.645,4.86,32.195,22.247,6.49,24.97,2.3536,21.439
Coimbatore,64,29.436,43.396,5.15,34.11,24.811999999999998,6.48,27.323,3.0412,37.028
Coimbatore,65,28.432,53.396,4.81,32.604,24.299,6.1,28.195999999999998,5.7995,125.25299999999999
Coimbatore,66,26.148000000000003,73.19800000000001,4.17,29.671,22.662,5.17,27.919,18.3811,439.81
Coimbatore,67,25.171,78.635,4.02,28.546999999999997,21.824,4.89,27.339000000000002,17.2702,460.175
Coimbatore,68,25.585,72.273,4.01,28.9,22.31,4.96,27.22,19.889,645.982
Coimbatore,69,25.489,64.404,4.11,29.171999999999997,21.886,5.21,26.973000000000003,8.126,98.831
Coimbatore,70,25.928,61.163000000000004,3.96,29.791,22.1,5.1,26.844,11.1749,213.733
Coimbatore,71,25.348000000000003,53.263000000000005,3.63,29.375,21.374000000000002,4.94,25.706,6.172000000000001,128.326
Coimbatore,72,24.647,41.088,3.55,29.17,20.180999999999997,5.1,22.715999999999998,3.9573,48.873999999999995
Coimbatore,73,24.51,31.088,3.87,29.589000000000002,19.485,5.59,21.896,1.2456,5.752999999999999
Coimbatore,74,25.809,28.502,4.38,30.979,20.685,6.12,23.229,1.1204,3.6289999999999996
Coimbatore,75,27.22,30.645,4.86,32.2,22.241,6.54,25.164,3.161,56.285
Coimbatore,76,27.592,43.396,4.96,32.269,22.985,6.41,26.504,6.7058,206.135
Coimbatore,77,27.596,53.396,4.72,31.781999999999996,23.463,6.03,28.107,5.4788,119.039
Coimbatore,78,26.076999999999998,73.19800000000001,4.17,29.598000000000003,22.583000000000002,5.17,27.925,23.4502,535.02
Coimbatore,79,25.324,78.635,4.03,28.701999999999998,21.991999999999997,4.91,27.285999999999998,15.4568,527.8580000000001
Coimbatore,80,24.85,72.273,3.95,28.148000000000003,21.559,4.93,26.886999999999997,15.4751,437.173
Coimbatore,81,25.976999999999997,64.404,4.15,29.659000000000002,22.351999999999997,5.22,26.987,11.7418,183.115
Coimbatore,82,26.131999999999998,61.163000000000004,3.98,29.984,22.291,5.11,26.844,11.7207,200.94400000000002
Coimbatore,83,25.393,53.263000000000005,3.63,29.419,21.419,4.94,25.706,6.2658,197.993
Coimbatore,84,24.67,41.088,3.56,29.193,20.180999999999997,5.1,22.694000000000003,3.1803,48.835
Coimbatore,85,24.886,31.088,3.9,29.963,19.828,5.63,21.896,1.2227,5.169
Coimbatore,86,25.54,28.502,4.35,30.713,20.416,6.13,22.480999999999998,1.7766,72.07300000000001
Coimbatore,87,26.804000000000002,30.645,4.82,31.783,21.836,6.47,24.055999999999997,2.9208,74.313
Coimbatore,88,28.645,43.396,5.08,33.321,24.021,6.46,27.323,4.4145,82.738
Coimbatore,89,27.378,53.396,4.7,31.564,23.259,6.04,28.107,8.0677,149.083
Coimbatore,90,26.101,73.19800000000001,4.17,29.624000000000002,22.615,5.17,27.925,10.6537,433.615
Coimbatore,91,24.456999999999997,78.635,3.96,27.833000000000002,21.11,4.86,26.156999999999996,15.4182,479.764
Coimbatore,92,25.45,72.273,4.01,28.764,22.159000000000002,4.95,27.22,12.8522,156.966
Coimbatore,93,25.857,64.404,4.14,29.538,22.243000000000002,5.23,26.973000000000003,9.9147,163.919
Coimbatore,94,26.131999999999998,61.163000000000004,3.98,29.984,22.291,5.13,26.877,11.8619,368.713
Coimbatore,95,24.945999999999998,53.263000000000005,3.59,28.971999999999998,20.97,4.94,24.749000000000002,3.0844,17.781
Coimbatore,96,24.28,41.088,3.53,28.803,19.814,5.09,21.965,1.1497,1.62
Coimbatore,97,24.455,31.088,3.86,29.531999999999996,19.428,5.59,21.337,2.4104,45.901
Coimbatore,98,25.634,28.502,4.36,30.804000000000002,20.509,6.1,23.229,1.5476,21.809
Coimbatore,99,27.499000000000002,30.645,4.9,32.493,22.533,6.53,25.164,0.7475,3.495
Coimbatore,100,28.033,43.396,5.01,32.695,23.426,6.45,26.905,6.6112,133.394
Coimbatore,101,27.307,53.396,4.69,31.484,23.180999999999997,6.02,28.107,11.4005,350.12300000000005
