District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Perambalur,372,24.569000000000003,43.693000000000005,3.32,28.553,20.585,4.81,24.258000000000003,7.1352,284.55
Perambalur,373,24.569000000000003,28.168000000000003,3.65,29.154,20.006,5.4,22.174,0.2566,0.7809999999999999
Perambalur,374,26.022,30.247,4.37,31.084,20.961,6.04,22.497,2.1252,44.297
Perambalur,375,27.7,30.293000000000003,5.01,32.885999999999996,22.535999999999998,6.6,24.575,1.0019,3.713
Perambalur,376,29.901,46.532,5.29,34.687,25.116999999999997,6.51,28.528000000000002,3.0264,93.24799999999999
Perambalur,377,29.717,57.271,5.36,34.574,24.86,6.47,28.703000000000003,6.1435,127.586
Perambalur,378,29.159000000000002,75.818,5.08,33.662,24.658,5.89,28.483,1.3748,39.719
Perambalur,379,28.482,82.115,4.96,32.884,24.08,5.68,28.035999999999998,1.8717,17.014
Perambalur,380,28.316999999999997,72.501,4.9,32.641999999999996,23.991,5.79,28.581999999999997,5.0486,128.68200000000002
Perambalur,381,27.964000000000002,66.2,4.72,32.342,23.684,5.76,28.607,6.6135,129.637
Perambalur,382,27.016,71.699,4.13,31.070999999999998,23.038,5.07,27.888,10.7548,268.788
Perambalur,383,26.168000000000003,63.57,3.59,29.999000000000002,22.337,4.69,26.281,7.4749,234.548
Perambalur,384,24.592,42.493,3.32,28.576999999999998,20.608,4.82,24.081,3.9964,93.277
Perambalur,385,25.044,31.574,3.71,29.631,20.46,5.36,22.828000000000003,0.0,0.0
Perambalur,386,26.151,28.717,4.38,31.213,21.089000000000002,6.08,23.357,1.4962,4.247
Perambalur,387,27.776,28.791999999999998,5.02,32.961999999999996,22.613000000000003,6.65,24.95,1.6609,19.062
Perambalur,388,29.625999999999998,40.98,5.27,34.411,24.839000000000002,6.6,28.528000000000002,1.8148,24.963
Perambalur,389,29.441,48.238,5.33,34.298,24.585,6.63,28.375999999999998,4.6135,54.13399999999999
Perambalur,390,28.805,70.611,5.04,33.308,24.304000000000002,5.96,28.304000000000002,1.9862,61.339
Perambalur,391,28.605999999999998,76.031,4.96,33.007,24.28,5.78,28.035999999999998,3.7866,53.261
Perambalur,392,28.087,70.124,4.88,32.413000000000004,23.761,5.83,28.535,7.9673,126.85
Perambalur,393,27.886999999999997,63.8,4.74,32.266,23.531999999999996,5.82,28.607,4.1956,107.079
Perambalur,394,26.64,62.493,4.11,30.693,22.608,5.25,27.837,7.2102,313.028
Perambalur,395,26.069000000000003,53.086000000000006,3.58,29.9,22.238000000000003,4.87,26.205,4.7065,68.979
Perambalur,396,24.691999999999997,41.293,3.31,28.676,20.784000000000002,4.83,24.305,4.031000000000001,165.31799999999998
Perambalur,397,25.045,33.676,3.71,29.631,20.46,5.36,22.504,2.2726,64.67399999999999
Perambalur,398,25.175,26.616,4.28,30.237,20.113,6.09,22.029,0.0,0.0
Perambalur,399,27.451999999999998,28.791999999999998,4.98,32.638000000000005,22.289,6.6,24.026999999999997,0.2983,0.299
Perambalur,400,29.824,43.38,5.28,34.611,25.039,6.53,28.451999999999998,1.7973,27.849
Perambalur,401,30.418000000000003,51.293,5.45,35.273,25.561999999999998,6.6,30.128,2.7778,55.615
Perambalur,402,29.535,71.087,5.12,34.037,25.031999999999996,6.01,28.035999999999998,2.7966,35.211
Perambalur,403,28.758000000000003,74.831,4.97,33.085,24.357,5.81,28.035999999999998,4.4347,41.894
Perambalur,404,28.386,68.8,4.9,32.688,24.061,5.85,28.488000000000003,5.0346,63.023999999999994
Perambalur,405,28.616,61.2,4.8,32.918,24.261999999999997,5.87,28.607,1.2301,25.169
Perambalur,406,27.491999999999997,61.815,4.17,31.546,23.538,5.31,27.983,11.8263,319.257
Perambalur,407,25.615,50.083999999999996,3.55,29.447,21.784000000000002,4.95,25.528000000000002,5.5896,122.895
Perambalur,408,24.191,39.292,3.27,28.177,20.283,4.83,23.63,2.2131,11.604000000000001
Perambalur,409,25.022,33.874,3.7,29.608,20.46,5.31,22.828000000000003,2.5448,42.336000000000006
Perambalur,410,26.074,29.371,4.36,31.136,21.089000000000002,6.04,23.026999999999997,0.2965,0.6890000000000001
Perambalur,411,27.953000000000003,30.293000000000003,5.03,33.14,22.79,6.62,25.427,1.0053,3.682
Perambalur,412,30.072,43.082,5.31,34.857,25.287,6.55,28.298000000000002,2.7411,86.88799999999999
Perambalur,413,30.965,52.093,5.5,35.821,26.109,6.6,30.051,1.2992,4.484
Perambalur,414,29.758000000000003,71.61,5.15,34.26,25.256,6.03,28.483,3.0988,50.728
Perambalur,415,28.482,76.531,4.96,32.884,24.08,5.81,28.035999999999998,2.2055,49.555
Perambalur,416,27.987,70.024,4.86,32.313,23.684,5.81,28.581999999999997,5.1073,141.501
Perambalur,417,27.862,63.8,4.74,32.241,23.509,5.81,28.607,5.6421,95.76700000000001
Perambalur,418,27.215999999999998,61.917,4.14,31.27,23.261,5.27,27.983,9.3903,85.25399999999999
Perambalur,419,25.516,51.608000000000004,3.53,29.346999999999998,21.684,4.89,25.404,4.4722,88.584
Perambalur,420,24.892,42.493,3.32,28.877,20.984,4.79,24.281,4.5433,85.678
Perambalur,421,25.721,31.574,3.75,30.307,21.159000000000002,5.38,22.804000000000002,0.3924,0.39299999999999996
Perambalur,422,26.799,28.193,4.42,31.861,21.813000000000002,6.11,23.351,3.0117,64.778
Perambalur,423,27.976,27.892,5.03,33.162,22.811999999999998,6.67,24.951,2.073,27.93
Perambalur,424,30.248,43.035,5.34,35.035,25.463,6.56,28.451999999999998,1.5003,18.527
Perambalur,425,30.416999999999998,53.745,5.45,35.273,25.561999999999998,6.6,30.128,4.3222,91.984
Perambalur,426,28.583000000000002,70.111,5.02,33.085,24.08,5.98,28.482,2.6126,35.751
Perambalur,427,28.781,75.778,4.98,33.107,24.38,5.77,28.035999999999998,3.6953,65.61399999999999
Perambalur,428,28.51,70.024,4.92,32.836,24.185,5.85,28.581999999999997,3.4117,77.792
Perambalur,429,28.24,62.723,4.76,32.618,23.96,5.83,28.607,7.8564,139.518
Perambalur,430,27.241,62.493,4.15,31.294,23.285,5.26,27.983,6.1666,48.632
Perambalur,431,26.068,54.687,3.58,29.9,22.237,4.84,26.180999999999997,7.4468,117.729
Perambalur,432,25.368000000000002,42.493,3.36,29.353,21.46,4.83,24.305,2.3123,46.163000000000004
Perambalur,433,25.221999999999998,31.574,3.7,29.807,20.66,5.38,22.828000000000003,1.2547,6.672000000000001
Perambalur,434,26.799,28.616999999999997,4.42,31.861,21.813000000000002,6.08,23.428,0.2992,1.188
Perambalur,435,28.153000000000002,29.969,5.06,33.34,22.99,6.67,25.427,1.5802,8.067
Perambalur,436,29.449,40.98,5.25,34.235,24.664,6.58,28.451999999999998,3.3671,66.493
Perambalur,437,30.465,46.063,5.45,35.32,25.609,6.68,30.128,2.3882,42.56399999999999
